n1,n2,intensity,distance,R1+R2,projection_volume
515,1,3033.619141,2.614459791,0.7545270084784395,0.0327263178375
830,72,3019.895508,2.9333598480000003,0.7354882745201645,0.0192013255875
88,1,3013.189941,2.12235718,0.8492216868890602,0.060325540275
515,1004,2995.958604,2.608236952,0.8190280923042295,0.08141527135
614,797,2972.455566,1.951127879,1.254666302794733,0.164513139
515,223,2960.66626,1.792456415,0.8677092288019694,0.07251474475
946,88,2938.102539,1.7621861419999998,1.1061815863688755,0.12891022900000002
226,515,2915.099432,0.739256383,0.9686301840921776,0.00758114484804687
830,194,2875.95125,0.760065787,1.238558065907311,0.2304742048
693,470,2861.185059,2.79510286,0.8676881121169875,0.0221306465734375
523,525,2858.119629,2.788942452,0.9036631239263622,0.0773533208
515,194,2856.506348,1.5542522319999998,1.2496189111760572,0.15405511065
272,523,2845.619873,0.776208735,0.8625877005828559,0.0317374647625
523,946,2836.85376,2.789587783,1.0630530809258896,0.217330631
38,946,2816.04127,3.633978536,0.9084638689269592,0.047342593375000006
126,38,2804.140381,3.702566677,0.6676052099514207,0.0534426781
491,470,2797.136963,2.228003591,0.8649377889180916,0.004315039894921871
946,223,2781.291748,1.751856158,0.9615300194191074,0.05174167005
797,210,2765.561048,1.4259382880000002,1.0190445954498486,0.0024599329806884803
88,126,2743.808838,2.04227814,0.8653229273933369,0.05646243295
523,63,2735.739014,1.4088647909999998,0.8252719219669546,0.0392867055
515,210,2713.084473,2.621621636,0.7231600104367419,0.00613761995
614,364,2683.594238,1.511026141,0.8409276759048243,0.0274664434625
491,515,2669.190674,2.739123948,0.964199837091902,0.07728303519999999
38,830,2639.380371,3.1963260160000004,0.8035822330410752,0.0362252485875
88,491,2597.081682,2.168363438,1.058894515502523,0.09426479890625
523,1,2592.444336,2.915150082,0.8060931814460742,0.017180193340625
38,194,2582.315918,2.519444383,1.1465958721447616,0.079662478875
88,525,2522.3701170000004,1.786253062,0.946791629369348,0.1451786602
491,272,2517.780029,3.703619851,0.8575552473660066,0.03819963315
830,523,2517.109863,1.922732431,0.9581714450400054,0.08218760935
523,210,2516.970215,2.871515279,0.7747261834043768,0.0105225892570312
946,38,2505.614502,3.633978536,0.9084638689269592,0.030772221725
491,286,2505.087158,2.394681607,0.7561641807737641,0.005973337803124999
491,614,2498.960693,2.236269215,1.0053154375324116,0.16130480519999998
523,830,2498.090332,1.922732431,0.9581714450400054,0.087236800875
946,72,2473.802734,2.068453529,0.8403699104060485,0.01595733601875
830,272,2460.70874,2.514040572,0.7999606823464752,0.034796354075
38,523,2405.041504,2.866217019,0.866209251277456,0.043723024625
946,515,2398.397461,2.379768896,1.011486907958255,0.06637383934999999
88,210,2334.63916,2.115868616,0.8178546888473628,0.01403500293125
491,38,2320.445313,3.905752168,0.8611767980606067,0.03640115675
491,347,2319.919434,4.531280172,0.8021517028521832,0.0231743705375
946,390,2294.116455,2.315599274,0.7762791899045597,0.00728792894375
126,88,2290.383057,2.04227814,0.8653229273933369,0.1268489901
797,1,2288.528076,1.934373284,1.050411593491546,0.00532114079765625
491,693,2281.892578,1.7027624609999998,1.0134838800415833,0.056709171225
63,946,2273.311279,1.426359001,0.8675265396164579,0.0214161819375
286,223,2262.751465,1.163786922,0.6596735724838314,0.002938776990625
38,72,2244.714844,4.904130912,0.6435260807576151,0.009332911021875
390,693,2232.07251,2.119457478,0.7317424422371029,0.000561132228125
286,614,2208.21145,1.063672882,0.7507460614634882,0.00136596790859375
946,347,2152.654297,3.957650818,0.8494387737185358,0.0180398994125
614,226,2130.136475,1.298768648,1.0097457845326872,0.1293474756
210,364,2125.547363,0.5132250970000001,0.6053059685599399,0.0039962213375
194,523,2110.936523,1.753282636,1.3011850841436918,0.105800396975
946,272,2056.970947,3.3080659,0.9048423182323592,0.0230561984625
272,515,2035.775162,0.965194281,0.8110215276152213,0.015694507215625
614,525,2013.49707,1.945507646,0.893212551399237,0.06442943605000001
63,515,1974.297363,0.965194281,0.7737057489993199,0.00655266711914062
194,515,1961.765137,1.5542522319999998,1.2496189111760572,0.0292079377625
72,470,1961.358643,3.3504328080000003,0.6472870716151001,3.7980555267334e-06
194,272,1954.029297,2.438544648,1.1429743214501615,0.0202187040125
1004,38,1950.288452,3.487262537,0.7160050532729341,0.049886198075
63,364,1896.884399,1.60003125,0.6558517071225178,0.0135678299257812
194,226,1892.763672,1.849810801,1.300582977927118,0.06632843441875
1004,523,1864.665283,2.917293266,0.8705942652718643,0.12648804630000002
523,364,1841.701416,2.618892896,0.8513782484319494,0.02067573834375
126,523,1827.946411,2.847349645,0.822194421950351,0.08057956165
1004,347,1808.566528,5.023445033,0.6569799580645107,0.027004401025
1,126,1808.382569,0.433704969,0.607489140120039,0.0011038693394531199
38,272,1795.03418,3.517911312,0.7079984885839258,0.01451679298125
515,126,1786.747437,2.506970283,0.7706282489827162,0.045735143475
1004,72,1751.543213,2.209637979,0.6479110947520234,0.028311875375
38,223,1724.051514,3.547675295,0.7646861897706742,0.0306062042125
126,272,1716.609497,3.443965737,0.6639836592568207,0.0296351118
797,693,1714.9432370000004,3.0977088310000003,1.2628347453039046,0.06398627515
946,286,1710.792847,2.314519389,0.8034512516401167,0.005303094365624999
194,72,1708.025913,3.113599203,1.0785019136238507,0.0137228744625
523,1004,1689.429688,2.917293266,0.8705942652718643,0.0264190868375
223,63,1687.0450809999998,1.22592822,0.7237488604601726,0.019411536200000003
830,515,1685.854614,1.552546296,0.9066052720723708,0.06481481492499999
390,88,1684.8343510000002,1.186128155,0.7771530776980424,0.000309880876373291
830,1,1650.077792,1.089311709,0.7434661632096935,0.01289805164375
525,72,1645.892456,2.062498485,0.6809799534065212,0.0131888001875
525,1,1638.265157,0.8257723659999999,0.68895784209605,0.005809462049999999
797,830,1622.499512,1.894412838,1.2024898570854772,0.0292643514625
223,797,1601.755127,2.531659535,1.163593813815076,0.060650167725
194,223,1596.294816,1.395707706,1.1996620226369097,0.01973722909375
223,347,1594.787476,5.7078892770000005,0.7056610945622506,0.026975774612500003
523,693,1591.717896,2.378634062,1.0185163332584328,0.056373521990625
390,63,1584.117207,1.209504031,0.5384980309456249,2.26003054573536e-05
390,797,1581.217285,2.255504378,0.9783429843005282,7.592806484375e-05
523,797,1580.541748,2.903532331,1.265116875321858,0.071348582725
210,946,1570.69605,1.205404496,0.8169808010538799,0.008061057681249999
126,946,1568.576782,1.48,0.8644490395998542,0.05560788765
