n1,n2,intensity,distance,R1+R2
136,651,11597.97559,1308.4341789999999,1.4593312482647152
385,425,11561.83829,653.8348415,1.764963081151271
385,723,11503.95913,6792.238217,2.0574900850149844
895,918,11476.119859999999,1634.044063,1.8925789008936564
342,589,11458.690359999999,3235.567956,1.5986722529881943
1084,843,11448.813479999999,703.2069397000001,1.2103123610828774
918,961,11345.97853,2578.080681,2.553382738675176
491,159,11342.467770000001,5915.175399000001,1.5568555163889415
395,136,11339.51074,879.6590249,1.6575977118215839
218,1020,11337.000979999999,1123.7882359999999,1.3285857509877788
918,952,11315.43262,3096.788659,1.907481727783529
312782628,409,11280.61783,374.1657387,1.3379691262790505
946,366,11276.78129,366.87872660000005,0.9713833391839216
181,149,11246.19336,728.4229541,0.9395560220158767
294,302,11241.485190000001,1173.243368,1.9070583758540758
127,351,11225.7959,986.9650449999999,1.1451477114973274
88,614,11221.72405,1645.478654,1.053476396192247
88,797,11171.21191,2811.298632,1.308245380764844
353,329,11144.21363,890.2808546,2.041754474839985
128,385,11140.02009,2732.123716,2.2614779587244795
319,536,11120.37317,1202.372654,1.3879240800487276
566,295,11100.64266,1323.253566,1.4621117592430926
536,342,11069.41928,1822.800044,1.5775652433523497
342,746,11057.01442,4424.364361,1.6488401678263391
88,194,11012.07715,384.96753110000003,1.3443135895866778
596,523,11011.15332,1010.247494,1.0711927191471555
731,44,10981.23597,1619.042927,1.2796936716996083
484682470,382,10978.28651,2400.187493,2.0227726205513776
596,266,10963.58793,1475.4660279999998,1.0862154588311648
56,266,10939.76172,90.55385138,1.541821094300571
361,894,10930.86669,591.1006682,1.5194848307227402
345,1057,10913.90792,1204.823639,1.8906435076878987
409,402,10888.50655,1359.816164,1.2292570513020435
56,342,10822.67296,2151.673767,1.9138588112006298
502,294,10822.55449,1854.238388,1.9002194660064196
731,746,10807.61457,1064.6126060000001,1.445013584470932
342,507,10799.11523,4147.227989999999,2.4755880366768555
403,536,10780.29052,843.5045938999999,1.4652884046103636
88,515,10758.87012,1258.33223,1.0123607957517375
677,104,10752.52064,2303.2368530000003,1.7869135937760299
502,706,10723.83105,1786.8687699999998,1.0354408491983518
56,258,10694.05371,2014.0009929999999,1.782170024419886
672,677,10686.33542,508.5272853999999,2.6633994365301974
369,985,10655.821909999999,2105.0653199999997,2.359825568290354
946,181,10639.5293,1360.477857,1.0188739921926198
1011,378,10596.596520000001,1333.079142,1.9533281781572245
918,895,10577.01922,1634.044063,1.8925789008936564
136,395,10576.810290000001,879.6590249,1.6575977118215839
523,507,10576.14258,4187.648505,2.088527580092787
596,56,10566.85156,1533.2318810000002,1.577192610487331
345,159,10565.25586,4056.266757,2.191914212681834
596,564,10534.58105,2111.894884,1.023439640768134
88,181,10497.55859,1724.2389629999998,1.0197478799861024
382,463,10478.3457,4292.540040999999,2.489299265852793
319,403,10462.32177,1431.5725619999998,1.4930013743989137
693,1004,10449.75804,996.9453345000001,0.8683121352539107
44,48,10442.193870000001,1827.840256,1.417784043155825
596,310,10428.16602,1815.296119,1.0445429521156264
409,425,10408.81292,690.3622238,1.2381051256390925
672,1057,10324.5937,830.9632964,2.588459575326611
181,797,10296.56641,3049.229411,1.2209377865885882
382,726,10291.66587,3020.695284,2.5092515414296974
88,262,10283.48438,1514.265499,1.2552280167899599
731,972,10251.97553,1103.313192,1.5251480268965993
731,507,10130.69434,2063.080221,2.271761453321448
491,946,10111.12695,1786.8687699999998,1.05802062770904
294,726,10082.24547,2352.6368190000003,2.2688503863602016
136,852,10058.61454,1094.623223,1.6844371204398738
978,661,10025.31955,3468.1551289999998,1.1561963282996501
797,128,10017.76503,365.9234893,1.8254039235792525
361,337,10007.78702,1269.094165,1.5191598266500979
385,159,9985.239441,7938.885312,2.24228041679649
596,342,9974.802734,2335.572735,1.4582531757312236
429,437,9969.666021,1270.314922,1.4986991652802173
136,437,9956.107422,1502.597751,1.6328479616159552
502,628,9950.430664,1166.061748,1.1610024358901345
385,589,9922.653499,7330.9958400000005,1.8920042435948248
