origin_abbrev,origin_id,target_abbrev,target_id,projection_volume
AHN,88,mfbs,991,0.0349014785649414
AHN,88,LPO,226,0.03487581615
AHN,88,fxpo,737,0.0348666654
AHN,88,fxs,1099,0.0348666654
AHN,88,fx,436,0.0348666654
LHA,194,sAMY,278,0.034824423725
VMH,693,PMd,980,0.03478943405
AHN,88,LHA,194,0.0345252089
LHA,194,eps,1000,0.034464453799999996
LHA,194,nst,102,0.034464453799999996
LHA,194,epsc,760,0.034464453799999996
PMv,1004,SUM,525,0.034309346596875
MPO,523,PVpo,133,0.034015666475
VMH,693,DORpm,856,0.0336456140463379
LHA,194,SSp,322,0.0335802451871603
LHA,194,SS,453,0.0335802451871603
LHA,194,SSp-ll,337,0.0334959471710937
LHA,194,PMd,980,0.03332643125
ZI,797,VISpm,533,0.0332226194480469
PVH,38,MEZ,467,0.0324650608164429
TU,614,PH,946,0.0315528885
LHA,194,GPi,1031,0.031264503900000004
LHA,194,PALd,818,0.031264503900000004
MPN,515,PALm,826,0.0311749948257475
DMH,830,PeF,576073704,0.031021630499999998
DMH,830,fiber tracts,1009,0.03101360675
DMH,830,mfbs,991,0.0310136063834122
TU,614,RCH,173,0.030989072450000002
ZI,797,SNr,381,0.03075413705
DMH,830,mfsbshy,824,0.0307533623685684
DMH,830,mfbsma,46,0.0307533623685684
DMH,830,mtt,690,0.030752684199999998
VMH,693,MED,444,0.030627139309375002
MPN,515,TH,549,0.030151542246875
ZI,797,cm,967,0.0301430278700195
ZI,797,drt,792,0.03007875045
ZI,797,ml,697,0.03007875045
ZI,797,cett,932,0.03007875045
ZI,797,VPMpc,741,0.02965958975
SBPV,347,MEZ,467,0.02935466060625
AHN,88,DMH,830,0.0289669429
PH,946,MTN,571,0.0287856723017944
MPO,523,STR,477,0.0285730855837707
MPN,515,ADP,72,0.02853467225
VMH,693,fiber tracts,1009,0.0284711658
LM,210,root,997,0.02839045055
MM,491,mfbsma,46,0.0282794918875
PSTN,364,ZI,797,0.0280940961
PVH,38,DORpm,856,0.0280745065483887
PVH,38,MTN,571,0.0280544314039062
PH,946,CH,567,0.0279849749566406
PH,946,CTXpl,695,0.0279849749566406
PH,946,Isocortex,315,0.0279849749566406
PH,946,CTX,688,0.0279849749566406
PH,946,RSP,254,0.0279849749566406
